id,prompt,question,context
1,"Answer the question using only the information provided in the context.","What is the main purpose of generative AI models like GPT?","Generative AI refers to a class of artificial intelligence models designed to generate new content such as text, images, code, audio, or video. These models learn patterns from large datasets and then use those patterns to produce new outputs that resemble the training data. Large Language Models (LLMs) such as GPT, LLaMA, and Mistral are trained using transformer architectures and large text corpora. The primary goal of these models is not to retrieve memorized answers but to generate coherent responses based on probability distributions of tokens. This allows them to perform tasks such as summarization, translation, question answering, coding assistance, and content creation."
2,"Use the provided context to answer the question accurately.","What role does the transformer architecture play in generative AI models?","The transformer architecture is a neural network design introduced in the paper 'Attention is All You Need'. It relies heavily on a mechanism called self-attention which allows the model to weigh the importance of different words in a sequence when making predictions. Transformers enable parallel processing of tokens, making training faster compared to recurrent neural networks. Modern generative AI models like GPT, Claude, and PaLM are built on transformer architectures. This design allows the model to capture long-range dependencies in text and scale efficiently with larger datasets and model parameters."
3,"Based on the context answer the question.","What is a Python virtual environment and why is it useful?","In Python development, a virtual environment is an isolated workspace that allows developers to install packages specific to a project without affecting the global Python installation. Tools such as venv, virtualenv, and conda are commonly used to create these environments. Virtual environments help manage dependencies, prevent version conflicts between projects, and ensure reproducibility of experiments. This is especially important in machine learning and generative AI projects where specific versions of libraries such as PyTorch, TensorFlow, or transformers may be required."
4,"Answer the question using the context below.","What is prompt engineering in generative AI?","Prompt engineering is the process of designing and structuring prompts in a way that guides a generative AI model to produce accurate and useful outputs. Since large language models generate responses based on the input prompt, the quality of the prompt can significantly influence the output. Prompt engineering techniques include providing clear instructions, adding examples (few-shot prompting), specifying formats, and controlling the style or tone of responses. Effective prompt engineering is widely used in applications such as chatbots, code generation tools, and AI assistants."
5,"Use only the information in the context to answer the question.","What is the purpose of embeddings in AI systems?","Embeddings are numerical vector representations of text, images, or other data types that capture semantic meaning. In natural language processing, text embeddings allow machines to represent words, sentences, or documents as vectors in high-dimensional space. Models such as BERT, Sentence Transformers, and OpenAI embedding models are commonly used to generate these vectors. Embeddings are widely used in applications like semantic search, recommendation systems, clustering, and Retrieval Augmented Generation (RAG). In RAG systems, embeddings help find the most relevant documents from a knowledge base before sending them to a language model."
6,"Read the context and answer the question.","What is Retrieval Augmented Generation (RAG)?","Retrieval Augmented Generation is an AI architecture that combines information retrieval with generative language models. Instead of relying only on the knowledge stored inside a trained model, RAG systems retrieve relevant documents from external sources such as databases, vector stores, or document collections. These retrieved contexts are then provided to the language model as part of the prompt. This approach improves factual accuracy, reduces hallucinations, and enables models to access up-to-date information without retraining the entire model."
7,"Answer the question using the given context.","Why is Python widely used in machine learning and generative AI development?","Python has become the dominant programming language in machine learning and artificial intelligence due to its simplicity, readability, and extensive ecosystem of libraries. Frameworks such as PyTorch, TensorFlow, scikit-learn, and Hugging Face Transformers provide powerful tools for building and training models. Python also integrates well with data processing libraries like NumPy and pandas, making it suitable for data science workflows. The large open-source community and availability of tutorials further contribute to its popularity among AI researchers and engineers."
8,"Use the context to answer the question.","What is fine-tuning in generative AI models?","Fine-tuning is the process of taking a pretrained machine learning model and training it further on a smaller, domain-specific dataset. Large language models are typically trained on massive general datasets during pretraining. However, for specialized tasks such as legal analysis, medical text processing, or customer support automation, the model may require additional training on domain-specific data. Fine-tuning helps the model adapt to these specific tasks while retaining the general knowledge learned during pretraining."
9,"Answer using only the context provided.","What is the difference between supervised learning and self-supervised learning?","Supervised learning is a machine learning paradigm where models are trained on labeled datasets containing input-output pairs. For example, an image classification model might learn to associate images with labels such as 'cat' or 'dog'. In contrast, self-supervised learning does not require explicit labels. Instead, the model generates its own training signals from the data. Many modern language models use self-supervised learning by predicting the next word or masked tokens in text sequences during training."
10,"Use the context below to answer the question.","What is the purpose of GPU acceleration in deep learning?","Deep learning models involve large matrix multiplications and parallel computations that can be computationally expensive. GPUs, or Graphics Processing Units, are specialized hardware designed to perform many calculations simultaneously. This makes them well suited for training neural networks. Frameworks such as PyTorch and TensorFlow leverage GPU acceleration to dramatically reduce training time for large models. Without GPUs, training modern deep learning models could take weeks or months instead of hours or days."

